Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-11-10,27.6574,27.6773,26.713,27.1604,1285392.4240045
2022-11-11,27.3194,28.5373,27.1703,28.3036,1019397.0316353
2022-11-14,28.3732,29.099,27.8165,28.3335,2207121.7164735
2022-11-15,28.8305,29.3177,28.5919,28.7112,847609.15800607
2022-11-16,28.3931,28.8405,27.7568,27.9855,709155.07644284
2022-11-17,27.4288,28.0253,26.9864,27.5779,604612.16093534
2022-11-18,28.0054,28.0054,27.0908,27.22,523809.97871314
2022-11-21,27.11,27.29,26.605,26.98,1347601
2022-11-22,28.3,31.6885,28.3,31.09,3498255
2022-11-23,31.85,32.41,31.65,32.19,1830634
2022-11-25,32.66,32.81,32.23,32.6,690546
2022-11-28,32.29,32.66,31.955,32.61,1557708
2022-11-29,32.6,32.97,32.2,32.9,1807586
2022-11-30,33.47,34.37,32.9,34.27,2103936
2022-12-01,34.49,34.755,34.05,34.21,1674503
2022-12-02,33.88,34.595,33.7378,34.34,887188
2022-12-05,34.26,34.43,33.66,33.75,1266443
2022-12-06,33.89,33.92,32.82,33.25,1342875
2022-12-07,33.28,33.42,32.78,33,1280609
2022-12-08,33.16,33.67,32.84,33.22,2222398
2022-12-09,33.2,33.945,33.041,33.31,1636188
2022-12-12,33,33.45,32.46,33.33,1493430
2022-12-13,34.65,34.695,33.95,34.28,1510763
2022-12-14,34,34.77,33.75,34.15,1062621
2022-12-15,33.41,33.9,33.07,33.42,929877
2022-12-16,33.29,33.975,33.13,33.64,1355402
2022-12-19,34.38,34.73,33.96,34.03,2376417
2022-12-20,34.14,35.59,33.755,35.48,1602100
2022-12-21,35.77,36.54,35.18,35.34,1039519
2022-12-22,35.1,35.48,34.95,35.39,764145
2022-12-23,35.53,36,35.18,35.62,546639
2022-12-27,35.62,35.62,35.05,35.26,432366
2022-12-28,35.09,35.59,34.69,34.75,715621
2022-12-29,35.05,35.82,34.85,35.32,611163
2022-12-30,34.83,35.22,34.73,35.02,916463
